Time [s],Channel 0
6.012517500,0
6.012527333,1
6.022501083,0
6.022510958,1
6.032483833,0
6.032493708,1
6.042465917,0
6.042475792,1
6.052447792,0
6.052457625,1
6.062430333,0
6.062440208,1
6.072412333,0
6.072422208,1
6.082393542,0
6.082403375,1
6.092373500,0
6.092383375,1
6.102356750,0
6.102366625,1
6.112341375,0
6.112351250,1
6.122326375,0
6.122336250,1
6.132309250,0
6.132319125,1
6.142292375,0
6.142302250,1
6.152275625,0
6.152285500,1
6.162258708,0
6.162268583,1
6.172241708,0
6.172251583,1
6.182224250,0
6.182234125,1
6.192206792,0
6.192216667,1
6.202191000,0
6.202200875,1
6.212174000,0
6.212183875,1
6.222157250,0
6.222167125,1
6.232140458,0
6.232150333,1
6.242123208,0
6.242133083,1
6.252106375,0
6.252116208,1
6.262090917,0
6.262100792,1
6.272072333,0
6.272082208,1
6.282054917,0
6.282064792,1
6.292038250,0
6.292048125,1
7.009333417,0
7.009343375,1
7.019317208,0
7.019327083,1
7.029301208,0
7.029311042,1
7.039285000,0
7.039294875,1
7.049268250,0
7.049278125,1
7.059252917,0
7.059262792,1
7.069237333,0
7.069247208,1
7.079221167,0
7.079231042,1
7.089205167,0
7.089215042,1
7.099187875,0
7.099197708,1
7.109171667,0
7.109181542,1
7.119155667,0
7.119165542,1
7.129138708,0
7.129148583,1
7.139119167,0
7.139129000,1
7.149101500,0
7.149111375,1
7.159083250,0
7.159093125,1
7.169066458,0
7.169076333,1
7.179050708,0
7.179060583,1
7.189034708,0
7.189044583,1
7.199018583,0
7.199028458,1
7.209002750,0
7.209012583,1
7.218987625,0
7.218997500,1
7.228971625,0
7.228981500,1
7.238955208,0
7.238965083,1
7.248938042,0
7.248947917,1
7.258921792,0
7.258931667,1
7.268904917,0
7.268914792,1
7.278888583,0
7.278898417,1
7.288871417,0
7.288881250,1
7.298854292,0
7.298864167,1
7.308837208,0
7.308847083,1
7.318819917,0
7.318829792,1
7.328802958,0
7.328812833,1
7.338786958,0
7.338796833,1
7.348771625,0
7.348781500,1
7.358755292,0
7.358765167,1
7.368740458,0
7.368750292,1
7.378725167,0
7.378735042,1
7.388709500,0
7.388719375,1
7.398692625,0
